それ,"that, that one"
ひらがな,hiragana
くもる,become cloudy
さわる,"touch, feel"
だめ,no good
かきなおす,rewrite
のみもの,"beverage, drink"
もくようび,Thursday
ようび,day of the week
そば,"side, vicinity"
こっち,here
かようび,Tuesday
かわく,be thirsty
さん,three
すいようび,Wednesday
ふたつ,two (things)
こんばん,"this evening, tonight"
せん,thousand
むっつ,six (things)
むいか,"six days, 6th of the month"
おねえさん,older sister
なおる,"be repaired, return to normal"
やさしい,"easy, simple"
へん,"vicinity, part"
よう,"way, like, kind"
おにいさん,older brother
からい,"spicy, salty"
はち,eight
みっか,"three days, 3rd of the month"
あそこ,over there
くる,come
まえ,"front, before"
いつか,"five days, 5th of the month"
いっぱい,full
きゅう,nine
すっぱい,sour
ちがう,"differ, be wrong"
ほそい,"thin, slender, narrow"
みっつ,three (things)
ようか,"eight days, 8th of the month"
こうこうせい,high school student
じょうず,"good, skilled"
つよい,strong
なな,seven
はつか,"20 days, 20th of the month"
ひだり,left
ふつか,"two days, 2nd of the month"
よっつ,four (things)
あたたかい,warm
ある,"exist, possess"
いい,good
いつつ,five (things)
いもうと,younger sister
うえ,"up, above"
うごく,move
えき,railway station
おいしい,tasty
おおきい,big
おとうと,younger brother
おとこ,"man, male"
おとな,adult
おねがい,favor
おんな,"woman, girl"
かね,money
かれ,"he, one's boyfriend"
きのう,yesterday
きれい,beautiful
くち,mouth
ご,five
ここのか,"nine days, 9th of the month"
ここのつ,nine (things)
こたえる,"answer, reply"
さき,"ahead, first"
さむい,cold (temperature of the air)
し,four
した,"under, below"
だいじょうぶ,"alright, OK"
だす,take out
ちいさい,small
ちち,(speaker's)father
ついたち,1st of the month
つき,moon
つま,wife
つめたい,"cold (things, touch)"
て,hand
とおか,"ten days, 10th of the month"
ときどき,sometimes
なつ,summer
ななつ,seven (things)
なに,"what, which"
なのか,"seven days, 7th of the month"
はは,(speaker's)mother
ひと,person
ひとり,"one, one person"
ひゃく,hundred
ほう,"direction, side"
ほか,other
ぼく,I (young male)
ほしい,"want, desire"
まん,ten thousand
みえる,be visible
みせ,"shop, store"
みち,"road, street"
め,eye
やっつ,eight (things)
やめる,"stop, give up, abolish"
よっか,"four days, 4th of the month"
よる,night (from sunset to sunrise)
よん,four
らいねん,next year
ろく,six
わるい,bad
おてあらい,"toilet, bathroom"
ごしゅじん,(your) husband
ほんとうに,"really, truly"
じぶん,"self, oneself"
なる,become
ため,"sake, purpose"
えん,yen
ばあい,"situation, case"
やすむ,"take a day off, take a break"
みつかる,"be found, be caught"
もんだい,"problem, question"
かいはつ,development
じけん,"affair, case"
ひつよう,"need, necessity"
きぎょう,"corporation, business"
おこなう,"do, carry out"
げんざい,"the present, present time"
りよう,"utilization, usage"
しゅしょう,prime minister
もつ,"maintain, last long"
せいふ,"government, administration"
はっぴょう,announcement
あく,open
うける,"receive, accept"
より,"more, further"
さくねん,last year
じょうほう,information
しめす,"show, indicate"
けんせつ,"construction, building"
はんばい,"sale, selling"
なおる,"be cured, get well"
きのう,"function, feature"
けんきゅう,"research, study"
いっぽう,one way
ドル,dollar
システム,system
ころ,time
たいする,"face, be in response to"
ほうほう,"method, procedure"
いじょう,"not less than, more than"
さいきん,"late, recent"
こんご,"after this, in the future"
せかい,world
もちいる,"use, make use of"
かたる,"tell, talk"
コンピューター,computer
ちゅうしん,"center, middle"
やる,give (to an inferior)
いみ,"meaning, significance"
けいかく,"plan, project"
えいきょう,"influence, effect"
ふえる,"increase, accrue"
えらぶ,"choose, elect"
けいざい,"economy, economics"
どうにゅう,introduction
せいかつ,"life, living"
すすめる,"advance, promote"
かんけい,"relation, relationship"
つづける,"continue, keep up"
ロボット,robot
ほとんど,"almost, hardly"
こくない,"domestic, internal"
ぶんや,"field, sphere"
かいしゃ,"company, corporation"
かんする,"concern, relate to"
じょうたい,"state, appearance"
だいとうりょう,president (of a country)
たいしょう,"target, object"
しょり,"management, process"
じょせい,"woman, female"
いえ,"house, home"
パソコン,personal computer
かいけつ,"solution, settlement"
じつげん,"implementation, realization"
おおく,"much, largely"
うごき,"movement, motion"
はなし,"talk, story"
かかく,"price, cost"
あがる,"go up, rise"
もう,"another, again"
あつめる,"collect, gather"
こえ,"voice, sound"
はじめて,for the first time
あきらか,"clear, obvious"
いちぶ,part
ちょうさ,"investigation, inquiry"
とう,political party
かわる,change
しゃちょう,president (of a company)
ぜんこく,the whole country
ちいき,"region, area"
じゅうよう,"important, essential"
すがた,"figure, appearance"
まず,first
しょうわ,Showa era
しゃかい,society
プログラム,program
きたい,"expectation, anticipation"
ちから,"strength, power"
のぞく,"rid of, exclude"
いっぱん,"general, common"
こんかい,this time
ふきゅう,"diffusion, spread"
ひょうげん,expression
さぎょう,"work, operation"
よてい,"schedule, plan"
こうじょう,"factory, plant"
よく,well
せいさん,production
せいけん,political power
ぎじゅつ,"skill, technology"
まま,"as is, still (in the current state)"
かんせい,"completion, finish"
へんか,change
そんざい,"existence, being"
さんか,participation
テレビ,television
とち,land
へる,"decrease, diminish"
けんとう,"consideration, inspection"
せいじ,politics
じっし,"enforcement, implementation"
かいし,beginning
そなえる,"provide for, furnish"
ゆにゅう,import
さいだい,"biggest, largest"
きょうそう,competition
ぶぶん,"part, section"
きえる,"be extinguished, disappear"
かぞく,"family, household"
ないよう,contents
くらべる,"compare, contrast"
うまれる,"be born, come into existence"
あたえる,give
せんきょ,election
たいりつ,"opposition, antagonism"
りゆう,"reason, cause"
こうせい,organization
かんり,"management, administration"
ぞうか,"increase, gain"
かいかく,reform
かいだん,"conversation, meeting"
かいちょう,"president, chairperson"
ソフト,"software, programme"
ていきょう,"offer, provide"
ただ,free
これら,these
ひろがる,"spread out, reach"
とくちょう,"distinctive feature, characteristic"
しらべる,"investigate, check"
きょうちょう,"emphasis, stress"
せいど,"system, organization"
ほうしん,"course, policy"
じゅうらい,"former, old"
いずれ,"eventually, sometime"
じこ,"accident, incident"
でんわ,"telephone, phone call"
がいこく,foreign country
もくてき,"object, purpose"
じゆう,freedom
しきん,"funds, capital"
ぎんこう,bank
じじつ,"fact, truth"
けってい,"decision, settlement"
ほうこう,"direction, course"
じゅうたく,"housing, residence"
だいひょう,representative
はげしい,"violent, intense"
かぶ,"stocks, shares"
こうしょう,"negotiation, bargaining"
けっか,"result, outcome"
ぜんたい,"whole, total"
のち,"after, afterwards"
めいれい,"command, order"
じゅうぶん,"full, plentiful"
あまり,(not) much
けいえい,"management, operation"
げんいん,"cause, origin"
しゃしん,photograph
たちば,"standpoint, position"
たいさく,"measure, action"
くりかえす,repeat
ひょうか,"evaluation, appraisal"
なお,"still, in addition"
けいさん,calculation
とうし,investment
かのう,"possible, potential"
くわえる,"add, include"
しゅるい,"kind, species"
きょうか,strengthening
いけん,opinion
ともなう,"accompany, go with"
しんぶん,newspaper
ぶんしょう,"writing, prose"
めだつ,"stand out, be conspicuous"
せっけい,"design, plan"
こうぞう,"construction, structure"
こっかい,"National Diet, parliament"
ほぼ,"almost, nearly"
あいて,opponent
はっせい,"occurrence, happening"
さいよう,employment
のこる,"remain, be left over"
だんかい,stage
ほうこく,report
しょうひん,"goods, commodities"
とし,"cities, urban community"
びょういん,hospital
きぼ,"scale, scope"
ぎょうしゃ,businessman
けいけん,experience
のうりょく,"ability, capacity"
さいしょ,"first, outset"
こくさい,international
ぎいん,legislator
きしゃ,"journalist, reporter"
ばしょ,"place, space"
うんどう,"movement, exercise"
サービス,"service, on the house"
あつまる,"gather, be collected"
せいさく,"policy, political measures"
くるま,car
かくだい,"magnification, enlargement"
すすむ,"advance, move forward"
たっする,"attain, reach"
かいぎ,"conference, meeting"
そうち,"equipment, device"
しゅちょう,"insistence, assertion"
きろく,"record, documentation"
ねんど,"year, school year"
さんぎょう,industry
はいけい,"background, scenery, setting"
ざいりょう,"material, factor"
ようきゅう,"requirement, demand"
しみん,"citizens, townsmen"
せいき,century
おおはば,"drastically, substantially"
かこう,"processing, manufacturing"
じっこう,"practice, execution"
はんだん,"judgment, decision"
そしき,"organization, constitution, tissue"
ゆしゅつ,export
けいさつ,police
つたえる,"convey, transmit, hand down"
こうかい,opening (to the public)
むかう,"face, confront, head toward"
なおす,"repair, cure, alter"
ぐたいてき,"concrete, specific"
ねがう,"wish, ask a favor, apply for"
グループ,group
こじん,individual
もとづく,be based on
まったく,"entirely, truly, indeed"
みかた,"view, way of looking"
しせい,"posture, attitude"
きょうりょく,"cooperation, collaboration"
たんとう,person in charge
ていあん,"proposition, proposal"
さいご,"last, final"
まねく,"invite, beckon, engage"
ホテル,hotel
ふたたび,"again, a second time"
じょうしょう,"ascension, rising"
きかい,machine
ちゅうもく,"attention, notice"
かこ,the past
さくひん,"work of art, piece"
ちょくせつ,directly
ひはん,"criticism, comment"
ぶんか,culture
しせつ,"facilities, institution"
せいこう,success
じっさい,"truth, actual state"
とうぜん,"natural, as a matter of course"
ねんかん,period of one year
かんたん,"simple, easy"
せまる,"press, close in on, be imminent"
まとめる,"gather together, put in order"
しめる,"occupy, hold"
のこす,"leave, reserve, leave undone"
げんご,"language, speech"
きょういく,education
た,"others, other things"
とりひき,"transaction, dealings"
じどうしゃ,automobile
はんたい,"oppose, object"
わかもの,"young person, youth"
ぶん,"amount, part, share"
かだい,"task, problem"
つうじょう,"common, ordinary"
どうよう,similar
ていど,"degree, extent"
あたる,"hit, strike"
うったえる,sue
じじょう,"circumstances, conditions"
はつげん,"utterance, speech"
けいこう,"tendency, disposition"
かいさい,"holding (of an event), opening"
もじ,"character, letter"
こ,"child, kid"
のべる,"state orally, expound, mention"
かつどう,activity
きかん,"term, period"
いってい,"constant, standard"
じゅうみん,"residents, dwellers"
とどく,"reach, be received"
やはり,"as expected, also, still"
こうか,"effect, result"
じょうきょう,"state of affairs, conditions"
かくにん,confirmation
いち,"position, place"
はっきり,clearly
つまり,"in short, basically"
つうか,"passing, passage"
ふかい,"deep, profound, intimate"
こうほ,"candidacy, candidate"
せんしゅ,representative athlete
おと,"sound, noise"
たいかい,"mass meeting, tournament"
きほん,"basis, foundation"
けいやく,"contract, agreement"
はっけん,"discovery, revelation"
とうじ,"at that time, at the present time"
じたく,"one's house, one's home"
くうき,"air, atmosphere"
もうける,"set up, establish"
れきし,history
かっこく,every country
とくに,"specially, particularly"
じっけん,experiment
おとずれる,"visit, call on"
たてもの,"building, structure"
ビル,building
かれら,they
しょうねん,boy
しょこく,various countries
もちろん,"of course, no doubt"
じむしょ,"office, one's place of business"
せきにん,"responsibility, liability"
かつて,"once, formerly"
かぎる,be limited to
かいがい,"overseas, abroad"
じょうけん,"condition, item"
かてい,"home, family"
きょうじゅ,professor
じんこう,population
うみ,"sea, ocean"
きじゅん,"standard, criterion"
こうげき,"attack, criticism"
じだい,"age, antiquity"
じき,"time, season"
せいぞう,"production, manufacture"
おおがた,"large, large scale"
しゅうへん,"environs, circumference"
ことなる,differ
たいほ,"arrest, capture"
かんれん,"connection, relation"
ぼうえき,"trade, commerce"
しゃいん,"staff member, employee"
けつごう,"combination, joining"
しぜん,nature
スポーツ,sport
かんじゃ,patient
なぜ,"why, for what reason"
えいが,movie
ならぶ,"line up, be parallel"
せいと,"pupil, student"
そのまま,"like that, unchanged"
こんど,"this time, next time"
わける,"divide into parts, sort, share"
はこぶ,"carry, transport"
ふくざつ,"complicated, intricate"
まわる,"turn round, go round, detour"
こうこう,high school
こうじ,construction
まいにち,every day
きこく,return to one's country
あめ,rain
たつ,"pass, elapse"
はな,flower
しゅっせき,"attendance, presence"
がいこくじん,foreigner
どうろ,"road, street"
ちきゅう,the Earth
えいご,English
きけん,"danger, dangerous"
ふつう,"normal, regular"
せつめい,"explanation, description"
はんぶん,half
ちゅうい,"attention, care, watch out"
あんぜん,"safety, security"
てがみ,letter
どりょく,"endeavor, effort"
しゅじゅつ,surgical operation
じゅんび,"provide for, prepare for"
まもる,"protect, observe"
おどろく,"be surprised, be startled"
じしん,earthquake
はなしあう,"discuss, talk over"
き,"tree, wood"
ゆるす,"permit, license, forgive"
ゆき,"snow, snowfall"
どうぶつ,animal
あう,fit
へいわ,"peace, harmony"
ひじょうに,"very, extremely"
おくれる,be late
もし,"if, in case of"
そつぎょう,graduation
うつる,"move, shift"
のうぎょう,agriculture
くうこう,airport
めずらしい,"rare, precious"
いそぐ,"hurry, hasten"
つもり,"intention, purpose"
かならず,"without fail, certainly"
すうじ,"figure, numeral"
やっと,"at last, finally"
りょこう,"travel, trip"
おんがく,music
かわ,"river, stream"
たとえば,for example
しょうがっこう,elementary school
かべ,"wall, partition"
ながれる,"flow, pass, drift away"
ゆめ,dream
にげる,"escape, run away"
すぎる,"pass by, exceed"
しゅと,capital
きょうし,"teacher, instructor"
そうだん,"consultation, advice"
ようい,"prepare, ready oneself"
ニュース,news
ほうりつ,law
たいへん,"awful, serious"
せんそう,"war, battle"
ずっと,"all day, from start to finish"
しぜん,"natural, naturally"
しま,"island, isle"
まど,"window, windowpane"
かんがえ,"thought, view, idea"
ビデオ,video
マンション,"apartment, apartment block, condominium"
けんこう,healthy
とおり,"passage, street"
よろこぶ,"be happy, be delighted"
にゅういん,be hospitalized
ふやす,"increase, add"
そだてる,"bring up, breed"
おんど,temperature
ざっし,"magazine, journal"
わたしたち,we
しょくじ,"meal, dinner"
かぜ,wind
はやく,"early, soon"
あかるい,"bright, cheerful"
うんてん,drive
しばらく,"awhile, long time, for the time being"
たかさ,height
かりる,borrow
ほうそう,broadcasting
しゅうしょく,finding employment
おおきさ,"size, dimensions"
こまる,"be at a loss, in a jam, in trouble"
とおる,"pass, take, go through"
ガス,gas
ふうふ,"husband and wife, married couple"
たてる,"stand, set up, establish"
のびる,"stretch, grow"
きこえる,"hear, be heard"
ころす,"kill, smother"
しずか,"quiet, tranquil"
わかれる,"be divided, disperse, branch off"
くわしい,"detailed, complete"
せいかく,"accurate, precise"
うまい,good at
うつ,"hit, strike"
こうぎょう,"industry, manufacturing industry"
サラリーマン,"office worker, salaried worker, company employee"
ゆうめい,famous
すてる,"discard, abandon"
うつす,"move, shift, transfer"
ただしい,"correct, righteous, lawful"
うれる,"sell, be in demand"
ばんぐみ,program
かわる,"substitute, be substituted for"
つく,"arrive, make contact, settle"
バス,bus
ちゅうがく,junior high school
うた,song
うすい,"thin, weak, pale"
へらす,"decrease, reduce"
かがく,science
やくそく,"promise, vow"
しゅっぱつ,"departure, starting"
うごかす,"move, operate"
しょうかい,"introduction, presentation"
たおれる,"fall over, succumb"
せき,"seat, one's place"
ねつ,"heat, fever"
ねだん,price
ながさ,length
クラス,class
となり,"neighboring house, next seat"
トラック,"truck, lorry"
たいしかん,embassy
なくなる,"die, pass away"
パーティー,party
いぬ,dog
うまい,"delicious, tasty"
とくべつ,"special, extraordinary"
きょうしつ,"classroom, class"
ガラス,glass
ふる,"wave, shake, brandish"
おとす,"drop, omit"
ゆうがた,evening
コース,"course, route"
アパート,"apartment, flat, apartment house"
しょうせつ,"novel, story"
レコード,record
どんどん,knock
かよう,"go to and from, frequent a place"
ひみつ,"secret, privacy"
りょうり,"cooking, handling"
くるしい,"painful, difficult"
しんじる,"believe, trust, have faith in"
なにか,"something, some"
カメラ,camera
さげる,"lower, turn down"
りゅうがく,studying abroad
むり,"unreasonable, impossible, forced"
かざる,"decorate, exhibit"
きた,north
たずねる,"visit, call on"
テープ,"tape, cassette"
うま,horse
ちょうなん,eldest son
きんじょ,neighborhood
すうがく,mathematics
にゅうがく,"enter a school, matriculate"
くろい,"black, dark"
たのむ,"ask, request"
ならべる,"line up, display, set up"
うけとる,"receive, understand"
たいよう,sun
としより,"old person, older councilor"
あじ,"taste, flavor"
おもいだす,"recollect, recall"
こまかい,"minute, elaborate"
せいせき,"results, record"
なみだ,tear
よこ,"side, width across"
あな,"hole, cavity"
きせつ,season
ビール,"beer, lager"
こしょう,"malfunction, fault, breakdown"
うら,"rear, reverse, inside"
ページ,page
むかえる,"welcome, go out to meet, invite"
やさい,vegetable
わたす,"carry across, hand over"
おくる,"offer, give"
ごうかく,"passing an examination, eligibility"
グラフ,"chart, graph"
こうえん,"park, public garden"
と,"door, shutter"
ちゅうがくせい,junior high school student
げんかん,"entrance, door"
とる,"photograph, shoot, film"
なつやすみ,summer vacation
まいとし,every year
ちず,"map, atlas"
かいがん,"seashore, coast"
きゅうに,"suddenly, unexpectedly"
おんなのこ,"girl, daughter"
ポスト,"post box, letter box"
くらい,"dark, dreary, shadowy"
りょうほう,both
むこう,"the other side, the other party, opponent"
いそがしい,"busy, occupied"
きゅうりょう,"salary, pay"
テスト,"test, exam"
あちこち,all over
きれる,"run out, expire, can cut"
やきゅう,baseball
しけん,"test, examination"
たいふう,typhoon
きそく,"rule, regulation"
とおく,great distance
ゴルフ,golf
かんごふ,female nurse
ラジオ,radio
あう,meet
タクシー,"taxi, cab"
らいげつ,next month
きょうかしょ,"textbook, schoolbook"
でんき,"electricity, electric light"
きゅう,"urgent, dire, pressing"
ゆっくり,slowly
きょうだい,sibling
ぎゅうにく,beef
たしか,"for sure, for certain"
なれる,grow accustomed to
あつい,"thick, bulky"
かえす,"return, repay"
ちゅうがっこう,junior high school
もり,"thick woods, forest"
おりる,"get off, land"
きょく,"song, melody, tune"
あそび,"play, amusement"
おく,"inner part, the back, inner chamber"
とくい,"one's forte, pride, customer"
さがる,"come down, hang down, fall"
レストラン,restaurant
いしゃ,doctor
カード,"card, credit card"
ふく,"blow, play on a wind instrument"
しんごう,"signal, traffic light"
え,"picture, painting, drawing"
しゅうり,"repair, mending"
ちかてつ,subway
あかちゃん,baby
おもしろい,"interesting, amusing"
りこん,divorce
しょうがくせい,"schoolchildren, schoolboy"
そだつ,"be brought up, grow"
かぞえる,"count, calculate"
アルバイト,"casual job, student job, part-time job"
かいもの,"shopping, purchase"
いし,"stone, small rock"
くすり,"drug, remedy, chemical"
まいねん,every year
まわす,"turn, rotate"
コピー,"copy, photocopy"
ぶつかる,"hit, bump into"
うんてんしゅ,driver
きょうかい,church
フィルム,film
みらい,future
こうちょう,"principal, schoolmaster"
デパート,"department store, department"
みおくる,see (someone) off
むく,"turn, face, look"
ゆれる,"shake, sway, rock"
かみ,"hair, hairstyle"
はこ,"box, case"
おもいで,"recollections, memory"
ベッド,bed
しんかんせん,"Shinkansen, Bullet Train"
うむ,have children
おくさん,"married lady, your wife"
かいだん,"steps, flight of stairs"
しょうたい,invitation
コート,"coat, jacket"
もえる,"burn, undergo combustion"
しょくどう,"dining hall, restaurant"
てんじょう,ceiling
か,"section, division, lesson"
くつ,"shoes, boots"
よやく,"reservation, subscription"
おととし,the year before last
きゅうじつ,"holiday, day off"
ちゅうもん,"order, request"
やちん,rent
さんぽ,"walk, stroll"
つうきん,"commuting, commutation"
ノート,"note book, laptop"
やめる,"resign, retire"
しかた,"way, method"
だいどころ,kitchen
たつ,"be built, be erected"
ふむ,"step on, tread on"
くばる,"hand out, distribute, allot"
にぎる,"grasp, make hand-rolled sushi balls"
れんしゅう,"practice, training"
つよさ,"strength, power"
ひさしぶり,after a long time
おうふく,"going and returning, round trip"
おおぜい,"large numbers, a lot of"
したしい,"intimate, familiar"
ばんごう,"number, serial number"
ワイン,wine
まく,"roll up, wind, wrap"
あおい,blue
おかしい,"strange, peculiar, suspicious"
わたる,"cross, ford, go across"
うし,"cattle, cow"
こおり,ice
あいさつ,"greet, greeting"
あらう,wash
たずねる,"inquire, search for"
たたく,"tap, hit"
ろうか,"hallway, corridor"
ゆうびんきょく,post office
わる,"divide, crack, split"
しんがく,entering a school of higher grade
トイレ,toilet
さく,"bloom, blossom"
ちゅうしゃじょう,parking area
なく,"cry, weep"
やね,roof
あんない,"guide, inform"
キャンプ,"camping, camp"
にもつ,"baggage, load"
めいわく,"trouble, annoyance"
せんげつ,last month
びじゅつかん,art museum
やぶる,"tear, break through, breach"
あい,love
くろ,black
ことわる,"refuse, turn down"
しなもの,"article, thing"
プラスチック,plastic
かす,"lend, lease"
しずむ,"sink, set"
ひかる,"shine, emit light"
みぎて,right hand
あか,"red, crimson"
たまご,egg
つかれる,"get tired, become fatigued"
おとこのこ,"boy, baby boy"
およぐ,swim
うちがわ,"inside, interior"
しゅうかん,"custom, habit"
なげる,"throw, abandon"
カラー,color
しょうがつ,New Year
しゅみ,"hobby, interest"
ぬすむ,"steal, rob"
ピアノ,piano
いけ,pond
だいがくいん,graduate school
なんど,"how many degrees, how many times"
ふこう,"unhappiness, misfortune, bereavement"
おそろしい,"terrible, awful"
たいいん,discharge from a hospital
つく,"attach itself to, be connected with, come in contact with"
おもさ,weight
しょうぎょう,"commerce, trade"
スキー,"ski, skiing"
しく,"lay, spread"
あんしん,"peace of mind, relief"
いと,"thread, yarn"
なかなか,"not at all, hardly"
にんぎょう,doll
プール,pool
ぎん,silver
におい,"smell, odor"
ホーム,platform
こうつうじこ,traffic accident
しあわせ,"happiness, good fortune"
すう,"inhale, suck"
あさい,"shallow, superficial"
けんがく,"observation tour, study tour, field trip"
こい,"thick, concentrated, dark-colored"
こわす,"break, destroy, smash"
まにあう,"be in time, answer the purpose, can do without"
とどける,"deliver, give notice"
は,"leaf, needle"
エレベーター,elevator
メモ,"memorandum, memo pad"
りっぱ,"fine, excellent"
りょかん,Japanese inn
すごい,"wonderful, great, incredible"
パン,bread
びっくりする,surprised
べんり,"convenience, handiness"
さとう,sugar
やすみ,"rest, holiday, absence"
ろくおん,sound recording
いいかた,"way of speaking, expression"
かえり,"return, going home"
しゅうまつ,weekend
ズボン,"trousers, pants"
たりる,"suffice, serve, be satisfied"
ひろう,"pick up, find"
まつり,festival
はくぶつかん,museum
あお,"blue, green, green light"
うりば,"sales floor, department"
おもちゃ,"toy, plaything"
かねもち,wealthy person
がんばる,"persist, be tenacious"
グラム,gram
コーヒー,coffee
さくら,"cherry tree, cherry blossom"
さす,"stab, prick, sting"
テント,tent
ボート,boat
あう,"meet with, encounter"
ボール,ball
オートバイ,"motorbike, motorcycle"
がいじん,"foreigner, alien"
ねこ,"cat, feline"
かくれる,"hide, disappear"
しんせつ,"kind, friendly"
ぜひ,"by all means, at any cost"
つうがく,"attending school, going to school"
あずける,"deposit, entrust"
つける,"attach, set, apply"
ならう,"learn, practice"
くみたてる,"build, set up, construct"
ぬる,"spread on, paint"
ひだりて,left hand
ひどい,"cruel, severe"
べつべつ,separately
まいしゅう,every week
きおん,temperature
ける,kick
まっか,deep red
がいこくご,foreign language
きもの,"clothes, kimono"
ぎゅうにゅう,milk
じゅうしょ,"one's dwelling, address"
せんしゅう,last week
ひこうじょう,"airport, airfield"
