Core-index,JLPT,vocab-kanji,vocab-hirigana,vocab-romanji,vocab-meaning,vocab-pos
98,JLPT4,死ぬ,しぬ,shine,die,Verb
99,JLPT4,乗る,のる,noru,"ride, take",Verb
100,JLPT4,安い,やすい,yasui,"inexpensive, cheap",Adjective
101,JLPT4,書く,かく,kaku,write,Verb
102,JLPT4,話す,はなす,hanasu,"speak, tell",Verb
103,JLPT4,頭,あたま,otama,head,Noun
104,JLPT4,体,からだ,karada,"body, health",Noun
105,JLPT4,ここ,ここ,koko,here,Pronoun
106,JLPT4,待つ,まつ,matsu,"wait, wait for",Verb
107,JLPT4,低い,ひくい,hikui,"low, short",Adjective
108,JLPT3,もらう,もらう,morau,receive,Verb
109,JLPT4,食べる,たべる,taberu,eat,Verb
110,JLPT4,早い,はやい,hayai,early,Adjective
111,JLPT4,兄,あに,oni,older brother,Noun
112,JLPT4,名前,なまえ,namae,name,Noun
113,JLPT2,夫,おっと,otto,husband,Noun
114,JLPT4,一,いち,ichi,one,Noun
115,JLPT4,結婚,けっこん,kekkon,marriage,Verbal Noun
116,JLPT2,親,おや,oya,parent,Noun
117,JLPT4,古い,ふるい,furui,old,Adjective
118,JLPT3,美しい,うつくしい,utsukushii,beautiful,Adjective
119,JLPT4,足,あし,oshi,"leg, foot",Noun
120,JLPT4,次,つぎ,tsgi,next,Noun
121,JLPT0,起こす,おこす,okosu,wake up,Verb
122,JLPT4,見せる,みせる,miseru,show,Verb
123,JLPT3,娘,むすめ,musume,"daughter, girl",Noun
124,JLPT4,とても,とても,totemo,very,Adverb
125,JLPT4,少し,すこし,sukoshi,"a bit, a little while",Adverb
126,JLPT4,質問,しつもん,shitsumon,question,Verbal Noun
127,JLPT0,楽しむ,たのしむ,tanoshimu,enjoy,Verb
128,JLPT4,色,いろ,iro,color,Noun
129,JLPT4,みんな,みんな,minna,"all, everybody",Noun
130,JLPT4,取る,とる,toru,"take, get",Verb
131,JLPT4,勉強,べんきょう,benkyou,study,Verbal Noun
132,JLPT0,出来る,できる,dekiru,"can do, be good at",Verb
133,JLPT4,短い,みじかい,mijikai,"short, brief",Adjective
134,JLPT0,落ちる,おちる,ochiru,"fall, sink",Verb
135,JLPT3,息子,むすこ,musuko,son,Noun
136,JLPT4,白い,しろい,shiroi,"white, blank",Adjective
137,JLPT2,誰,だれ,dare,"who, whom",Noun
138,JLPT4,いつも,いつも,itsumo,always,Adverb
139,JLPT4,飛行機,ひこうき,hikouki,airplane,Noun
140,JLPT3,勝つ,かつ,katsu,win,Verb
141,JLPT4,病気,びょうき,byouki,illness,Verbal Noun
142,JLPT4,冬,ふゆ,fume,winter,Noun
143,JLPT3,年,とし,toshi,"year, age",Noun
144,JLPT4,重い,おもい,omoi,heavy,Adjective
145,JLPT2,胸,むね,mune,chest,Noun
146,JLPT4,読む,よむ,yomu,read,Verb
147,JLPT3,払う,はらう,harau,pay,Verb
148,JLPT4,軽い,かるい,karui,"light, light weight",Adjective
149,JLPT3,見つける,みつける,mitsukeru,find,Verb
150,JLPT4,いつ,いつ,itsu,when,Noun
151,JLPT4,友達,ともだち,tomodachi,"friend, companion",Noun
152,JLPT4,忘れる,わすれる,wasureru,"forget, leave behind",Verb
153,JLPT2,酒,さけ,sake,"alcoholic drink, Japanese rice wine",Noun
154,JLPT4,どちら,どちら,dochira,which,Noun
155,JLPT4,姉,あね,one,older sister,Noun
156,JLPT4,覚える,おぼえる,oboeru,"memorize, learn",Verb
157,JLPT4,狭い,せまい,semai,"narrow, restricted",Adjective
158,JLPT4,好き,すき,suki,"favorite, liked",Adjectival Noun
159,JLPT3,建てる,たてる,tateru,"build, erect",Verb
160,JLPT4,どれ,どれ,dore,"what, which",Noun
161,JLPT4,赤い,あかい,okai,red,Adjective
162,JLPT4,今日,きょう,kyou,today,Noun
163,JLPT4,着る,きる,kiru,"wear, put on",Verb
164,JLPT3,笑う,わらう,orau,"laugh, smile",Verb
165,JLPT0,一番,いちばん,ichiban,most,Adverb
166,JLPT4,授業,じゅぎょう,jyugyou,"class, lesson",Verbal Noun
167,JLPT2,週,しゅう,shuu,week,Noun
168,JLPT4,漢字,かんじ,kanji,"character, kanji",Noun
169,JLPT4,自転車,じてんしゃ,jitensha,bicycle,Noun
170,JLPT4,電車,でんしゃ,densha,train,Noun
171,JLPT3,探す,さがす,sagasu,"search for, look for",Verb
172,JLPT4,紙,かみ,kami,paper,Noun
173,JLPT4,歌う,うたう,utau,sing,Verb
174,JLPT4,遅い,おそい,osoi,"slow, late",Adjective
175,JLPT3,首,くび,kubi,neck,Noun
176,JLPT4,速い,はやい,hayai,fast,Adjective
177,JLPT0,一緒に,いっしょに,isshoni,"together, at the same time",Adverb
178,JLPT3,日記,にっき,nikki,diary,Noun
179,JLPT4,今月,こんげつ,kongetsu,this month,Noun
180,JLPT4,遊ぶ,あそぶ,asobu,play,Verb
181,JLPT4,遠い,とおい,tooi,"far, distant",Adjective
182,JLPT3,弱い,よわい,yowai,weak,Adjective
183,JLPT4,耳,みみ,mimi,"ear, hearing",Noun
184,JLPT4,座る,すわる,suwaru,"sit, sit down",Verb
185,JLPT4,右,みぎ,migi,right,Noun
186,JLPT2,浴びる,あびる,abiru,take (a shower),Verb
187,JLPT2,肩,かた,kata,shoulder,Noun
188,JLPT4,飲む,のむ,nomu,drink,Verb
189,JLPT4,寝る,ねる,neru,"sleep, go to sleep",Verb
190,JLPT4,消す,けす,kesu,"switch off, turn off",Verb
191,JLPT4,元気,げんき,genki,"healthy, energetic",Adjective
192,JLPT3,負ける,まける,makeru,lose,Verb
193,JLPT4,全部,ぜんぶ,zenbu,"all, wholly",Adverb
194,JLPT4,去年,きょねん,kyonen,last year,Noun
195,JLPT4,引く,ひく,hiku,"draw, pull",Verb
196,JLPT4,図書館,としょかん,toshoukan,library,Noun
197,JLPT4,上げる,あげる,ageru,"raise, improve",Verb
198,JLPT3,緑,みどり,modori,"green, foliage",Noun
199,JLPT3,腕,うで,ude,arm,Noun
200,JLPT4,ドア,ドア,doa,door,Noun
201,JLPT2,閉じる,とじる,dojiru,close,Verb
202,JLPT2,時,とき,toko,time,Noun
203,JLPT3,米,こめ,kome,rice (grain),Noun
204,JLPT4,切る,きる,kiru,cut,Verb
205,JLPT3,線,せん,sen,line,Noun
206,JLPT0,決まる,きまる,kimaru,be decided,Verb
207,JLPT4,楽しい,たのしい,tanoshi,"fun, enjoyable",Adjective
208,JLPT4,服,ふく,fuku,clothes,Noun
209,JLPT0,後ろ,うしろ,ushiro,"back, behind",Noun
210,JLPT2,嬉しい,うれしい,ureshi,"happy, glad",Adjective
211,JLPT2,腰,こし,koshi,"hip, lower back",Noun
212,JLPT4,日曜日,にちようび,nichiyoubi,Sunday,Noun
213,JLPT4,開ける,あける,akeru,"open, unlock",Verb
214,JLPT4,昼,ひる,hiru,"daytime, midday",Noun
215,JLPT4,お母さん,おかあさん,okaasan,mother,Noun
216,JLPT4,留学生,りゅうがくせい,ryuugakusei,student studying abroad,Noun
217,JLPT3,大学生,だいがくせい,daigakusei,university student,Noun
218,JLPT3,終わり,おわり,owari,"end, conclusion",Noun
219,JLPT2,背,せ,se,"height, stature",Noun
220,JLPT3,手伝う,てつだう,tetsudau,"help, assist",Verb
221,JLPT4,鼻,はな,hana,nose,Noun
222,JLPT4,起きる,おきる,okiru,occur,Verb
223,JLPT4,熱い,あつい,atsui,"hot (things, touch)",Adjective
224,JLPT2,載せる,のせる,noseru,"place, put on",Verb
225,JLPT3,悲しい,かなしい,kanashii,sad,Adjective
226,JLPT2,愛する,あいする,aisuru,"love, care for",Verb
227,JLPT2,しゃべる,しゃべる,shaberu,"chat, talk",Verb
228,JLPT4,近く,ちかく,chikaku,"vicinity, nearby",Noun
229,JLPT4,甘い,あまい,amai,sweet,Adjective
230,JLPT4,テーブル,テーブル,teeburu,table,Noun
231,JLPT4,食べ物,たべもの,tabemono,food,Noun
232,JLPT4,始まる,はじまる,hajimaru,begin,Verb
233,JLPT2,ゲーム,ゲーム,geemu,game,Noun
234,JLPT4,十,じゅう,juu,ten,Noun
235,JLPT4,天気,てんき,tenki,weather,Noun
236,JLPT4,暑い,あつい,atsui,"hot, warm (temperature of the air)",Adjective
237,JLPT4,太い,ふとい,futoi,"thick, fat",Adjective
238,JLPT4,晩,ばん,ban,evening (usually from sunset to bedtime),Noun
239,JLPT4,土曜日,どようび,doyoubi,Saturday,Noun
240,JLPT2,神,かみ,kami,"god, spirit",Noun
241,JLPT4,痛い,いたい,itai,painful,Adjective
242,JLPT4,お父さん,おとうさん,otousan,father,Noun
243,JLPT2,多分,たぶん,tabun,"probably, perhaps",Adverb
244,JLPT4,時計,とけい,tokei,"clock, watch",Noun
245,JLPT3,泊まる,とまる,tomaru,stay overnight,Verb
246,JLPT4,どうして,どうして,doushite,why,Adverb
247,JLPT2,掛ける,かける,kakeru,"hang, put on",Verb
248,JLPT0,曲がる,まがる,magaru,turn,Verb
249,JLPT4,おなか,おなか,onaka,stomach,Noun
250,JLPT0,ミーティング,ミーティング,miitingu,meeting,Noun
251,JLPT4,閉める,しめる,shimeru,"shut, close",Verb
252,JLPT4,嫌い,きらい,kirai,dislike,Adjective
253,JLPT4,金曜日,きんようび,kinyoubi,Friday,Noun
254,JLPT4,要る,いる,iru,"need, require",Verb
255,JLPT2,無い,ない,nai,to not be,Adjective
256,JLPT4,黄色い,きいろい,kiiroi,yellow,Adjective
257,JLPT2,風邪,かぜ,kaze,cold (illness),Noun
258,JLPT3,優しい,やさしい,yasashi,"gentle, kind",Adjective
259,JLPT4,晴れる,はれる,hareru,"be sunny, clear up",Verb
260,JLPT4,大好き,だいすき,daisuki,love,Adjective
261,JLPT4,茶色,ちゃいろ,syairo,light brown,Noun
262,JLPT4,汚い,きたない,kitanai,dirty,Adjective
263,JLPT2,空く,すく,suku,be empty,Verb
264,JLPT2,上る,のぼる,noboru,go up,Verb
265,JLPT0,ご飯,ごはん,gohan,"cooked rice, meal",Noun
266,JLPT2,日,にち,nichi,day,Noun
267,JLPT2,髪の毛,かみのけ,kaminoke,hair,Noun
268,JLPT4,つける,つける,tsukeru,switch on,Verb
269,JLPT4,月曜日,げつようび,getsuyoubi,Monday,Noun
270,JLPT4,入る,はいる,hairu,enter,Verb
271,JLPT4,片仮名,かたかな,katakana,katakana,Noun
272,JLPT4,今週,こんしゅう,konshuu,this week,Noun
273,JLPT3,開く,ひらく,hiraku,open,Verb
274,JLPT4,水,みず,mizu,water,Noun
275,JLPT4,あれ,あれ,ore,that over there,Noun
276,JLPT4,二,に,ni,two,Noun
277,JLPT4,閉まる,しまる,shimaru,"be shut, be closed",Verb
278,JLPT4,締める,しめる,shimeru,"tighten, fasten",Verb
279,JLPT4,まずい,まずい,mazui,"bad-tasting, bad",Adjective
280,JLPT4,平仮名,ひらがな,hiragana,hiragana,Noun
281,JLPT4,曇る,くもる,kumoru,become cloudy,Verb
282,JLPT3,触る,さわる,chiwaru,"touch, feel",Verb
283,JLPT2,駄目,だめ,dame,no good,Adjectival Noun
284,JLPT0,書き直す,かきなおす,kakinaosu,rewrite,Verb
285,JLPT4,飲み物,のみもの,nomimono,"beverage, drink",Noun
286,JLPT4,木曜日,もくようび,mokuyoubi,Thursday,Noun
287,JLPT2,曜日,ようび,yougi,day of the week,Noun
288,JLPT4,そば,そば,sopa,"side, vicinity",Noun
289,JLPT3,こっち,こっち,kocchi,here,Pronoun
290,JLPT4,火曜日,かようび,kayoubi,Tuesday,Noun
291,JLPT2,渇く,かわく,kawaku,be thirsty,Verb
292,JLPT4,三,さん,san,three,Noun
293,JLPT4,水曜日,すいようび,suiyoubi,Wednesday,Noun
294,JLPT4,二つ,ふたつ,futatsu,two (things),Noun
295,JLPT4,今晩,こんばん,konpan,"this evening, tonight",Noun
296,JLPT4,千,せん,sen,thousand,Noun
297,JLPT4,六つ,むっつ,muttsu,six (things),Noun
298,JLPT4,六日,むいか,muika,"six days, 6th of the month",Noun
299,JLPT4,お姉さん,おねえさん,oneesan,older sister,Noun
300,JLPT3,直る,なおる,naoru,"be repaired, return to normal",Verb
301,JLPT4,易しい,やさしい,yachishii,"easy, simple",Adjective
302,JLPT4,辺,へん,hen,"vicinity, part",Noun
303,JLPT0,よう,よう,you,"way, like, kind",Noun
304,JLPT4,お兄さん,おにいさん,oniisan,older brother,Noun
305,JLPT4,辛い,からい,karai,"spicy, salty",Adjective
306,JLPT4,八,はち,hachi,eight,Noun
307,JLPT4,三日,みっか,mikka,"three days, 3rd of the month",Noun
308,JLPT4,あそこ,あそこ,asoko,over there,Pronoun
309,JLPT4,来る,くる,kuru,come,Verb
310,JLPT4,前,まえ,mae,"front, before",Noun
311,JLPT4,五日,いつか,itsuka,"five days, 5th of the month",Noun
312,JLPT0,一杯,いっぱい,ippai,full,Adverb
313,JLPT4,九,きゅう,kyuu,nine,Noun
314,JLPT0,酸っぱい,すっぱい,subbai,sour,Adjective
315,JLPT4,違う,ちがう,chigau,"differ, be wrong",Verb
316,JLPT4,細い,ほそい,hosoi,"thin, slender, narrow",Adjective
317,JLPT4,三つ,みっつ,mittsu,three (things),Noun
318,JLPT4,八日,ようか,youka,"eight days, 8th of the month",Noun
319,JLPT3,高校生,こうこうせい,koukousei,high school student,Noun
320,JLPT4,上手,じょうず,jouzu,"good, skilled",Adjectival Noun
321,JLPT4,強い,つよい,tsuyoi,strong,Adjective
322,JLPT2,七,なな,nana,seven,Noun
323,JLPT4,二十日,はつか,hatsuka,"20 days, 20th of the month",Noun
324,JLPT4,左,ひだり,hidari,left,Noun
325,JLPT4,二日,ふつか,futsuk,"two days, 2nd of the month",Noun
326,JLPT4,四つ,よっつ,yottsu,four (things),Noun
327,JLPT4,暖かい,あたたかい,atatakai,warm,Adjective
328,JLPT2,有る,ある,aru,"exist, possess",Verb
329,JLPT0,良い,いい,ii,good,Adjective
330,JLPT4,五つ,いつつ,itsutsu,five (things),Noun
331,JLPT4,妹,いもうと,imouto,younger sister,Noun
332,JLPT4,上,うえ,ue,"up, above",Noun
333,JLPT3,動く,うごく,ugoku,move,Verb
334,JLPT4,駅,えき,eki,railway station,Noun
335,JLPT4,おいしい,おいしい,oishii,tasty,Adjective
336,JLPT4,大きい,おおきい,ookii,big,Adjective
337,JLPT4,弟,おとうと,otouto,younger brother,Noun
338,JLPT4,男,おとこ,otoko,"man, male",Noun
339,JLPT4,大人,おとな,otona,adult,Noun
340,JLPT0,お願い,おねがい,onegai,favor,Verbal Noun
341,JLPT4,女,おんな,onna,"woman, girl",Noun
342,JLPT2,金,かね,kane,money,Noun
343,JLPT3,彼,かれ,kare,"he, one's boyfriend",Noun
344,JLPT4,昨日,きのう,kinou,yesterday,Noun
345,JLPT0,奇麗,きれい,kirei,beautiful,Adjectival Noun
346,JLPT4,口,くち,kuchi,mouth,Noun
347,JLPT4,五,ご,go,five,Noun
348,JLPT4,九日,ここのか,kokonoka,"nine days, 9th of the month",Noun
349,JLPT4,九つ,ここのつ,kokonotsu,nine (things),Noun
350,JLPT4,答える,こたえる,kotaeru,"answer, reply",Verb
351,JLPT4,先,さき,saki,"ahead, first",Noun
352,JLPT4,寒い,さむい,samui,cold (temperature of the air),Adjective
353,JLPT4,四,し,shi,four,Noun
354,JLPT4,下,した,shita,"under, below",Noun
355,JLPT4,大丈夫,だいじょうぶ,daijyoubu,"alright, OK",Adjectival Noun
356,JLPT4,出す,だす,dasu,take out,Verb
357,JLPT4,小さい,ちいさい,chiisai,small,Adjective
358,JLPT4,父,ちち,chichi,(speaker's)father,Noun
359,JLPT4,一日,ついたち,tsuitachi,1st of the month,Noun
360,JLPT2,月,つき,tsuki,moon,Noun
361,JLPT3,妻,つま,tsuma,wife,Noun
362,JLPT4,冷たい,つめたい,tsumetai,"cold (things, touch)",Adjective
363,JLPT4,手,て,te,hand,Noun
364,JLPT4,十日,とおか,tooka,"ten days, 10th of the month",Noun
365,JLPT4,時々,ときどき,tokidoki,sometimes,Adverb
366,JLPT4,夏,なつ,natsu,summer,Noun
367,JLPT4,七つ,ななつ,nanatsu,seven (things),Noun
368,JLPT4,何,なに,nani,"what, which",Noun
369,JLPT4,七日,なのか,nanoka,"seven days, 7th of the month",Noun
370,JLPT4,母,はは,haha,(speaker's)mother,Noun
371,JLPT4,人,ひと,hitori,person,Noun
372,JLPT4,一人,ひとり,hitori,"one, one person",Noun
373,JLPT4,百,ひゃく,hyaku,hundred,Noun
374,JLPT2,方,ほう,hou,"direction, side",Noun
375,JLPT2,他,ほか,hoka,other,Noun
376,JLPT3,僕,ぼく,boku,I (young male),Noun
377,JLPT4,欲しい,ほしい,boshi,"want, desire",Adjective
378,JLPT4,万,まん,man,ten thousand,Noun
379,JLPT3,見える,みえる,mieru,be visible,Verb
380,JLPT4,店,みせ,mise,"shop, store",Noun
381,JLPT4,道,みち,michi,"road, street",Noun
382,JLPT4,目,め,me,eye,Noun
383,JLPT4,八つ,やっつ,yattsu,eight (things),Noun
384,JLPT2,止める,やめる,yameru,"stop, give up, abolish",Verb
385,JLPT4,四日,よっか,yokka,"four days, 4th of the month",Noun
386,JLPT4,夜,よる,yoru,night (from sunset to sunrise),Noun
387,JLPT2,四,よん,yon,four,Noun
388,JLPT4,来年,らいねん,rainen,next year,Noun
389,JLPT4,六,ろく,roku,six,Noun
390,JLPT4,悪い,わるい,warui,bad,Adjective
391,JLPT4,お手洗い,おてあらい,otearai,"toilet, bathroom",Noun
392,JLPT0,ご主人,ごしゅじん,goshujin,(your) husband,Noun
393,JLPT0,本当に,ほんとうに,honyouni,"really, truly",Adverb
394,JLPT4,自分,じぶん,jibun,"self, oneself",Noun
395,JLPT4,なる,なる,naru,become,Verb
396,JLPT3,ため,ため,tame,"sake, purpose",Noun
397,JLPT2,円,えん,en,yen,Noun
398,JLPT3,場合,ばあい,baai,"situation, case",Noun
399,JLPT4,休む,やすむ,yasumu,"take a day off, take a break",Verb
400,JLPT3,見つかる,みつかる,mitsukaru,"be found, be caught",Verb
401,JLPT4,問題,もんだい,mondai,"problem, question",Noun
402,JLPT1,開発,かいはつ,kaihatsu,development,Verbal Noun
403,JLPT2,事件,じけん,jiken,"affair, case",Noun
404,JLPT3,必要,ひつよう,hitsuyou,"need, necessity",Adjectival Noun
405,JLPT2,企業,きぎょう,kigyou,"corporation, business",Noun
406,JLPT3,行う,おこなう,okonau,"do, carry out",Verb
407,JLPT2,現在,げんざい,genzai,"the present, present time",Noun
408,JLPT3,利用,りよう,riyou,"utilization, usage",Verbal Noun
409,JLPT2,首相,しゅしょう,shushou,prime minister,Noun
410,JLPT4,持つ,もつ,motsu,"maintain, last long",Verb
411,JLPT2,政府,せいふ,seifu,"government, administration",Noun
412,JLPT2,発表,はっぴょう,habbyou,announcement,Verbal Noun
413,JLPT4,開く,あく,aku,open,Verb
414,JLPT3,受ける,うける,ukeru,"receive, accept",Verb
415,JLPT2,より,より,yori,"more, further",Adverb
416,JLPT0,昨年,さくねん,sakunen,last year,Noun
417,JLPT2,情報,じょうほう,jyouhou,information,Noun
418,JLPT2,示す,しめす,shimesu,"show, indicate",Verb
419,JLPT2,建設,けんせつ,kensetsu,"construction, building",Verbal Noun
420,JLPT2,販売,はんばい,hanbai,"sale, selling",Verbal Noun
421,JLPT3,治る,なおる,naoru,"be cured, get well",Verb
422,JLPT2,機能,きのう,kinou,"function, feature",Verbal Noun
423,JLPT3,研究,けんきゅう,kenkyuu,"research, study",Verbal Noun
424,JLPT2,一方,いっぽう,ibbou,one way,Noun
425,JLPT0,ドル,ドル,doru,dollar,Noun
426,JLPT1,システム,システム,shisutemu,system,Noun
427,JLPT2,頃,ころ,koro,time,Noun
428,JLPT2,対する,たいする,taisuru,"face, be in response to",Verb
429,JLPT2,方法,ほうほう,houhou,"method, procedure",Noun
430,JLPT3,以上,いじょう,ijyou,"not less than, more than",Noun
431,JLPT3,最近,さいきん,saikin,"late, recent",Noun
432,JLPT2,今後,こんご,kongo,"after this, in the future",Noun
433,JLPT3,世界,せかい,sekai,world,Noun
434,JLPT2,用いる,もちいる,mochiru,"use, make use of",Verb
435,JLPT2,語る,かたる,kataru,"tell, talk",Verb
436,JLPT2,コンピューター,コンピューター,konpuutaa,computer,Noun
437,JLPT2,中心,ちゅうしん,chuushin,"center, middle",Noun
438,JLPT4,やる,やる,yaru,give (to an inferior),Verb
439,JLPT4,意味,いみ,imi,"meaning, significance",Noun
440,JLPT3,計画,けいかく,keikaku,"plan, project",Verbal Noun
441,JLPT2,影響,えいきょう,eikyou,"influence, effect",Verbal Noun
442,JLPT3,増える,ふえる,fueru,"increase, accrue",Verb
443,JLPT3,選ぶ,えらぶ,erabu,"choose, elect",Verb
444,JLPT3,経済,けいざい,keizai,"economy, economics",Noun
445,JLPT1,導入,どうにゅう,dounyuu,introduction,Verbal Noun
446,JLPT3,生活,せいかつ,seikatsu,"life, living",Verbal Noun
447,JLPT2,進める,すすめる,susumeru,"advance, promote",Verb
448,JLPT3,関係,かんけい,kankei,"relation, relationship",Verbal Noun
449,JLPT3,続ける,つづける,tszukeru,"continue, keep up",Verb
450,JLPT0,ロボット,ロボット,robotto,robot,Noun
451,JLPT3,ほとんど,ほとんど,hotondo,"almost, hardly",Adverb
452,JLPT0,国内,こくない,kokunai,"domestic, internal",Noun
453,JLPT2,分野,ぶんや,bunya,"field, sphere",Noun
454,JLPT4,会社,かいしゃ,kaisha,"company, corporation",Noun
455,JLPT2,関する,かんする,kansuru,"concern, relate to",Verb
456,JLPT2,状態,じょうたい,joutai,"state, appearance",Noun
457,JLPT2,大統領,だいとうりょう,daitouryou,president (of a country),Noun
458,JLPT2,対象,たいしょう,taishou,"target, object",Noun
459,JLPT2,処理,しょり,shori,"management, process",Verbal Noun
460,JLPT3,女性,じょせい,jyosei,"woman, female",Noun
461,JLPT4,家,いえ,ie,"house, home",Noun
462,JLPT0,パソコン,パソコン,pasokon,personal computer,Noun
463,JLPT2,解決,かいけつ,kaiketsu,"solution, settlement",Verbal Noun
464,JLPT2,実現,じつげん,jitsugen,"implementation, realization",Verbal Noun
465,JLPT0,多く,おおく,ooku,"much, largely",Adverb
466,JLPT1,動き,うごき,ugoki,"movement, motion",Noun
467,JLPT4,話,はなし,hanashi,"talk, story",Noun
